Film,Year,Awards,Nominations,Decade,Win_Rate
One Battle After Another,2025,6,13,2020,0.46153846153846156
Sinners,2025,4,16,2020,0.25
Frankenstein,2025,3,9,2020,0.3333333333333333
KPop Demon Hunters,2025,2,2,2020,1.0
Hamnet,2025,1,8,2020,0.125
Weapons,2025,1,1,2020,1.0
Sentimental Value,2025,1,9,2020,0.1111111111111111
Mr Nobody Against Putin,2025,1,1,2020,1.0
All the Empty Rooms,2025,1,1,2020,1.0
The Singers,2025,1,1,2020,1.0
Two People Exchanging Saliva,2025,1,1,2020,1.0
The Girl Who Cried Pearls,2025,1,1,2020,1.0
F1,2025,1,4,2020,0.25
Avatar: Fire and Ash,2025,1,2,2020,0.5
Anora,2024,5,6,2020,0.8333333333333334
The Brutalist,2024,3,10,2020,0.3
Emilia Pérez,2024,2,13,2020,0.15384615384615385
Wicked,2024,2,10,2020,0.2
Dune: Part Two,2024,2,5,2020,0.4
Conclave,2024,1,8,2020,0.125
The Substance,2024,1,5,2020,0.2
I'm Still Here,2024,1,3,2020,0.3333333333333333
Flow,2024,1,2,2020,0.5
A Real Pain,2024,1,2,2020,0.5
No Other Land,2024,1,1,2020,1.0
I'm Not a Robot,2024,1,1,2020,1.0
In the Shadow of the Cypress,2024,1,1,2020,1.0
The Only Girl in the Orchestra,2024,1,1,2020,1.0
Oppenheimer,2023,7,13,2020,0.5384615384615384
Poor Things,2023,4,11,2020,0.36363636363636365
The Zone of Interest,2023,2,5,2020,0.4
American Fiction,2023,1,5,2020,0.2
Anatomy of a Fall,2023,1,5,2020,0.2
Barbie,2023,1,8,2020,0.125
The Boy and the Heron,2023,1,1,2020,1.0
Godzilla Minus One,2023,1,1,2020,1.0
The Holdovers,2023,1,5,2020,0.2
The Last Repair Shop,2023,1,1,2020,1.0
20 Days in Mariupol,2023,1,1,2020,1.0
War Is Over! Inspired by the Music of John and Yoko,2023,1,1,2020,1.0
The Wonderful Story of Henry Sugar,2023,1,1,2020,1.0
Everything Everywhere All at Once,2022,7,11,2020,0.6363636363636364
All Quiet on the Western Front,2022,4,9,2020,0.4444444444444444
The Whale,2022,2,3,2020,0.6666666666666666
Top Gun: Maverick,2022,1,6,2020,0.16666666666666666
Black Panther: Wakanda Forever,2022,1,5,2020,0.2
Avatar: The Way of Water,2022,1,4,2020,0.25
Women Talking,2022,1,2,2020,0.5
Guillermo del Toro's Pinocchio,2022,1,1,2020,1.0
Navalny,2022,1,1,2020,1.0
The Elephant Whisperers,2022,1,1,2020,1.0
An Irish Goodbye,2022,1,1,2020,1.0
"The Boy, the Mole, the Fox and the Horse",2022,1,1,2020,1.0
RRR,2022,1,1,2020,1.0
CODA,2021,3,3,2020,1.0
Dune,2021,6,10,2020,0.6
The Eyes of Tammy Faye,2021,2,2,2020,1.0
No Time to Die,2021,1,3,2020,0.3333333333333333
The Windshield Wiper,2021,1,1,2020,1.0
The Long Goodbye,2021,1,1,2020,1.0
The Queen of Basketball,2021,1,1,2020,1.0
Summer of Soul,2021,1,1,2020,1.0
Drive My Car,2021,1,4,2020,0.25
Encanto,2021,1,3,2020,0.3333333333333333
West Side Story,2021,1,7,2020,0.14285714285714285
Belfast,2021,1,7,2020,0.14285714285714285
The Power of the Dog,2021,1,12,2020,0.08333333333333333
King Richard,2021,1,6,2020,0.16666666666666666
Cruella,2021,1,2,2020,0.5
Parasite,2019,4,6,2010,0.6666666666666666
Ford v Ferrari,2019,2,4,2010,0.5
Learning to Skateboard in a Warzone (If You're a Girl),2019,1,1,2010,1.0
The Neighbors' Window,2019,1,1,2010,1.0
Little Women,2019,1,6,2010,0.16666666666666666
Marriage Story,2019,1,6,2010,0.16666666666666666
Jojo Rabbit,2019,1,6,2010,0.16666666666666666
Toy Story 4,2019,1,2,2010,0.5
Joker,2019,2,11,2010,0.18181818181818182
Once Upon a Time in Hollywood,2019,2,10,2010,0.2
1917,2019,3,10,2010,0.3
Judy,2019,1,2,2010,0.5
Bombshell,2019,1,3,2010,0.3333333333333333
Rocketman,2019,1,1,2010,1.0
American Factory,2019,1,1,2010,1.0
Hair Love,2019,1,1,2010,1.0
Green Book,2018,3,5,2010,0.6
Bohemian Rhapsody,2018,4,5,2010,0.8
Roma,2018,3,10,2010,0.3
Black Panther,2018,3,7,2010,0.42857142857142855
The Favourite,2018,1,10,2010,0.1
A Star Is Born,2018,1,8,2010,0.125
Vice,2018,1,8,2010,0.125
BlacKkKlansman,2018,1,6,2010,0.16666666666666666
First Man,2018,1,4,2010,0.25
If Beale Street Could Talk,2018,1,3,2010,0.3333333333333333
Bao,2018,1,1,2010,1.0
Free Solo,2018,1,1,2010,1.0
Period. End of Sentence.,2018,1,1,2010,1.0
Skin,2018,1,1,2010,1.0
Spider-Man: Into the Spider-Verse,2018,1,1,2010,1.0
The Shape of Water,2017,4,13,2010,0.3076923076923077
Dunkirk,2017,3,8,2010,0.375
"Three Billboards Outside Ebbing, Missouri",2017,2,7,2010,0.2857142857142857
Darkest Hour,2017,2,6,2010,0.3333333333333333
Blade Runner 2049,2017,2,5,2010,0.4
Coco,2017,2,2,2010,1.0
Phantom Thread,2017,1,6,2010,0.16666666666666666
Call Me by Your Name,2017,1,4,2010,0.25
Get Out,2017,1,4,2010,0.25
"I, Tonya",2017,1,3,2010,0.3333333333333333
Dear Basketball,2017,1,1,2010,1.0
A Fantastic Woman,2017,1,1,2010,1.0
Heaven Is a Traffic Jam on the 405,2017,1,1,2010,1.0
Icarus,2017,1,1,2010,1.0
The Silent Child,2017,1,1,2010,1.0
Moonlight,2016,3,8,2010,0.375
La La Land,2016,6,14,2010,0.42857142857142855
Hacksaw Ridge,2016,2,6,2010,0.3333333333333333
Manchester by the Sea,2016,2,6,2010,0.3333333333333333
Arrival,2016,1,8,2010,0.125
Fences,2016,1,4,2010,0.25
Fantastic Beasts and Where to Find Them,2016,1,2,2010,0.5
The Jungle Book,2016,1,1,2010,1.0
O.J.: Made in America,2016,1,1,2010,1.0
Piper,2016,1,1,2010,1.0
The Salesman,2016,1,1,2010,1.0
Sing,2016,1,1,2010,1.0
Suicide Squad,2016,1,1,2010,1.0
The White Helmets,2016,1,1,2010,1.0
Zootopia,2016,1,1,2010,1.0
Spotlight,2015,2,6,2010,0.3333333333333333
Mad Max: Fury Road,2015,6,10,2010,0.6
The Revenant,2015,3,12,2010,0.25
Bridge of Spies,2015,1,6,2010,0.16666666666666666
The Big Short,2015,1,5,2010,0.2
The Danish Girl,2015,1,4,2010,0.25
Room,2015,1,4,2010,0.25
The Hateful Eight,2015,1,3,2010,0.3333333333333333
Ex Machina,2015,1,2,2010,0.5
Inside Out,2015,1,2,2010,0.5
Amy,2015,1,1,2010,1.0
Bear Story,2015,1,1,2010,1.0
A Girl in the River: The Price of Forgiveness,2015,1,1,2010,1.0
Son of Saul,2015,1,1,2010,1.0
Spectre,2015,1,1,2010,1.0
Stutterer,2015,1,1,2010,1.0
Birdman or (The Unexpected Virtue of Ignorance),2014,4,9,2010,0.4444444444444444
The Grand Budapest Hotel,2014,4,9,2010,0.4444444444444444
Whiplash,2014,3,5,2010,0.6
The Imitation Game,2014,1,8,2010,0.125
American Sniper,2014,1,6,2010,0.16666666666666666
Boyhood,2014,1,6,2010,0.16666666666666666
Interstellar,2014,1,5,2010,0.2
The Theory of Everything,2014,1,5,2010,0.2
Ida,2014,1,2,2010,0.5
Selma,2014,1,2,2010,0.5
Citizenfour,2014,1,1,2010,1.0
Big Hero 6,2014,1,1,2010,1.0
Crisis Hotline: Veterans Press 1,2014,1,1,2010,1.0
The Phone Call,2014,1,1,2010,1.0
Still Alice,2014,1,1,2010,1.0
Feast,2014,1,1,2010,1.0
12 Years a Slave,2013,3,9,2010,0.3333333333333333
Gravity,2013,7,10,2010,0.7
Dallas Buyers Club,2013,3,6,2010,0.5
Frozen,2013,2,2,2010,1.0
The Great Gatsby,2013,2,2,2010,1.0
Her,2013,1,5,2010,0.2
Blue Jasmine,2013,1,3,2010,0.3333333333333333
Mr Hublot,2013,1,1,2010,1.0
The Lady in Number 6,2013,1,1,2010,1.0
Helium,2013,1,1,2010,1.0
The Great Beauty,2013,1,1,2010,1.0
20 Feet from Stardom,2013,1,1,2010,1.0
Argo,2012,3,7,2010,0.42857142857142855
Life of Pi,2012,4,11,2010,0.36363636363636365
Les Misérables,2012,3,8,2010,0.375
Lincoln,2012,2,12,2010,0.16666666666666666
Django Unchained,2012,2,5,2010,0.4
Skyfall,2012,2,5,2010,0.4
Silver Linings Playbook,2012,1,8,2010,0.125
Zero Dark Thirty,2012,1,5,2010,0.2
Amour,2012,1,5,2010,0.2
Anna Karenina,2012,1,4,2010,0.25
Paperman,2012,1,1,2010,1.0
Brave,2012,1,1,2010,1.0
Searching for Sugar Man,2012,1,1,2010,1.0
Inocente,2012,1,1,2010,1.0
Curfew,2012,1,1,2010,1.0
